Location_Code,Location,Date,Comparison_Type,,new_deaths
MYS,Malaysia,31/12/2019,0,,0
MYS,Malaysia,01/01/2020,0,,0
MYS,Malaysia,02/01/2020,0,,0
MYS,Malaysia,03/01/2020,0,,0
MYS,Malaysia,04/01/2020,0,,0
MYS,Malaysia,05/01/2020,0,,0
MYS,Malaysia,06/01/2020,0,,0
MYS,Malaysia,07/01/2020,0,,0
MYS,Malaysia,08/01/2020,0,,0
MYS,Malaysia,09/01/2020,0,,0
MYS,Malaysia,10/01/2020,0,,0
MYS,Malaysia,11/01/2020,0,,0
MYS,Malaysia,12/01/2020,0,,0
MYS,Malaysia,13/01/2020,0,,0
MYS,Malaysia,14/01/2020,0,,0
MYS,Malaysia,15/01/2020,0,,0
MYS,Malaysia,16/01/2020,0,,0
MYS,Malaysia,17/01/2020,0,,0
MYS,Malaysia,18/01/2020,0,,0
MYS,Malaysia,19/01/2020,0,,0
MYS,Malaysia,20/01/2020,0,,0
MYS,Malaysia,21/01/2020,0,,0
MYS,Malaysia,22/01/2020,0,,0
MYS,Malaysia,23/01/2020,0,,0
MYS,Malaysia,24/01/2020,0,,0
MYS,Malaysia,25/01/2020,3,,0
MYS,Malaysia,26/01/2020,1,,0
MYS,Malaysia,27/01/2020,0,,0
MYS,Malaysia,28/01/2020,0,,0
MYS,Malaysia,29/01/2020,3,,0
MYS,Malaysia,30/01/2020,0,,0
MYS,Malaysia,31/01/2020,1,,0
MYS,Malaysia,01/02/2020,0,,0
MYS,Malaysia,02/02/2020,0,,0
MYS,Malaysia,03/02/2020,0,,0
MYS,Malaysia,04/02/2020,0,,0
MYS,Malaysia,05/02/2020,2,,0
MYS,Malaysia,06/02/2020,2,,0
MYS,Malaysia,07/02/2020,2,,0
MYS,Malaysia,08/02/2020,1,,0
MYS,Malaysia,09/02/2020,1,,0
MYS,Malaysia,10/02/2020,2,,0
MYS,Malaysia,11/02/2020,0,,0
MYS,Malaysia,12/02/2020,0,,0
MYS,Malaysia,13/02/2020,0,,0
MYS,Malaysia,14/02/2020,1,,0
MYS,Malaysia,15/02/2020,2,,0
MYS,Malaysia,16/02/2020,1,,0
MYS,Malaysia,17/02/2020,0,,0
MYS,Malaysia,18/02/2020,0,,0
MYS,Malaysia,19/02/2020,0,,0
MYS,Malaysia,20/02/2020,0,,0
MYS,Malaysia,21/02/2020,0,,0
MYS,Malaysia,22/02/2020,0,,0
MYS,Malaysia,23/02/2020,0,,0
MYS,Malaysia,24/02/2020,0,,0
MYS,Malaysia,25/02/2020,0,,0
MYS,Malaysia,26/02/2020,0,,0
MYS,Malaysia,27/02/2020,0,,0
MYS,Malaysia,28/02/2020,1,,0
MYS,Malaysia,29/02/2020,2,,0
MYS,Malaysia,01/03/2020,0,,0
MYS,Malaysia,02/03/2020,4,,0
MYS,Malaysia,03/03/2020,,,
MYS,Malaysia,04/03/2020,7,,0
MYS,Malaysia,05/03/2020,14,,0
MYS,Malaysia,06/03/2020,0,,0
MYS,Malaysia,07/03/2020,33,,0
MYS,Malaysia,08/03/2020,10,,0
MYS,Malaysia,09/03/2020,6,,0
MYS,Malaysia,10/03/2020,18,,0
MYS,Malaysia,11/03/2020,12,,0
MYS,Malaysia,12/03/2020,20,,0
MYS,Malaysia,13/03/2020,9,,0
MYS,Malaysia,14/03/2020,39,,0
MYS,Malaysia,15/03/2020,41,,0
MYS,Malaysia,16/03/2020,190,,0
MYS,Malaysia,17/03/2020,125,,0
MYS,Malaysia,18/03/2020,120,,2
MYS,Malaysia,19/03/2020,117,,0
MYS,Malaysia,20/03/2020,110,,0
MYS,Malaysia,21/03/2020,130,,0
MYS,Malaysia,22/03/2020,153,,2
